"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx-exposed-r2dbc-postgresql/update/stats.txt",,,,"Date:","21 Dec 2025 14:33:35 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766327615.050,20.280,8.603,71.049,0.068,0,1770661.294,16423835.689,1085630.823,0,0,0,0,0,1753964544,3033448448,3292815360,5954236416,17110.088,52421.214,1,0,6.121,7.620,6.480,4.710,9813.249,2772.324,26.457,0.623,36.673,1.653,26.735,0.011,7.355,0.024,7.620,6.480,4.710,1754755072,3032657920,3292815360,5953445888,1,0,6.121,8.369,20.335,1.881,0,0,1073737728,0,928,43873,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,1.751,2060.971,10971.368,11453.259,0.595,0.029,0,0,0,0,0,0,0,0
1766327616.050,45.953,18.244,35.802,0,0,0,9437184,0,0,672,0,0,0,1720512512,3066982400,3292864512,5987692544,61327,161888,9,0,45,7.620,6.480,4.710,51779,5136,64,0,66,0,17,0,64,0,7.620,6.480,4.710,1720512512,3066982400,3292864512,5987692544,7,0,45,0,64,0,0,0,1073737728,0,960,44067,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,7358,9100,10605,1,0,0,0,0,0,0,0,0,0
1766327617.050,43.154,18.119,38.589,0.138,0,0,9043968,0,0,336,0,0,0,1716174848,3071176704,3293007872,5991919616,68264,165859,8,0,0,7.490,6.470,4.720,59680,4897,13,0,10,0,1,0,5,0,7.490,6.470,4.720,1716174848,3071176704,3293007872,5991919616,8,0,0,0,10,0,0,0,1073737728,0,960,44067,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,2724,115,1055,0.200,0,0,0,0,0,0,0,0,0
1766327618.050,45.014,18.421,36.565,0,0,0,9109504,0,0,336,0,0,0,1707892736,3079319552,3293147136,6000087040,72924,178184,8,0,0,7.490,6.470,4.720,63597,5201,2,0,10,0,1,0,11,0,7.490,6.470,4.720,1707892736,3079319552,3293147136,6000087040,6,0,0,0,10,0,0,0,1073737728,0,960,44066,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,2503,76,1595,0.100,0,0,0,0,0,0,0,0,0
1766327619.050,43.906,19.668,36.427,0,0,0,8781824,0,0,0,0,0,0,1703825408,3083255808,3293278208,6004064256,72879,178010,8,0,0,7.490,6.470,4.720,63622,5160,2,0,10,0,1,0,2,0,7.490,6.470,4.720,1703825408,3083255808,3293278208,6004064256,6,0,0,0,10,0,0,0,1073737728,0,960,44066,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,2352,63,1053,0.500,0,0,0,0,0,0,0,0,0
1766327620.050,43.646,19.613,36.740,0,0,0,8454144,0,0,0,0,0,0,1700577280,3086405632,3293376512,6007296000,73326,179239,8,0,0,7.490,6.470,4.720,64066,5116,4,0,10,0,2,0,2,0,7.490,6.470,4.720,1700577280,3086405632,3293376512,6007296000,8,0,0,0,10,0,0,0,1073737728,0,960,44066,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,2296,589,1569,0.200,0,0,0,0,0,0,0,0,0
1766327621.050,2.270,1.009,96.721,0,0,0,1867776,0,0,0,0,0,0,1694855168,3092111360,3293392896,6013050880,4542,10900,0,0,1,7.490,6.470,4.720,3806,400,29,0,9,0,26,0,4,0,7.490,6.470,4.720,1694855168,3092111360,3293392896,6013050880,0,0,1,0,6,0,0,0,1073737728,0,960,44051,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,248,117,1550,0.400,0,0,0,0,0,0,0,0,0
1766327622.053,0.374,0.125,99.502,0,0,0,0,0,0,0,0,0,0,1694851072,3092111360,3293396992,6013050880,307,386,0,0,0,6.970,6.380,4.700,159,140,2,0,0,0,2,0,2,0,6.970,6.380,4.700,1694851072,3092111360,3293396992,6013050880,0,0,0,0,0,0,0,0,1073737728,0,960,44051,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,4,29,48,0,0,0,0,0,0,0,0,0,0
1766327623.050,0.252,0.252,99.496,0,0,0,0,0,0,0,0,0,0,1694851072,3092111360,3293396992,6013050880,1203,1629,0,0,0,6.970,6.380,4.700,721,472,2,0,0,0,1,0,2,0,6.970,6.380,4.700,1694851072,3092111360,3293396992,6013050880,0,0,0,0,0,0,0,0,1073737728,0,960,44051,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,1,35,175,0,0,0,0,0,0,0,0,0,0
1766327624.051,0.377,0.377,99.245,0,0,0,0,0,0,0,0,0,0,1696649216,3090305024,3293405184,6011265024,1750,2375,1,0,1,6.970,6.380,4.700,1076,655,4,0,0,0,3,0,2,0,6.970,6.380,4.700,1696649216,3090305024,3293405184,6011265024,0,0,1,0,0,0,0,0,1073737728,0,960,44051,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,1062,506,500,0,0,0,0,0,0,0,0,0,0
1766327625.050,0.378,0.630,98.489,0.504,0,0,0,0,0,0,0,0,0,1696649216,3090305024,3293405184,6011281408,2513,3534,2,0,1,6.970,6.380,4.700,1442,666,2,3,385,0,1,0,4,0,6.970,6.380,4.700,1696649216,3090305024,3293405184,6011281408,2,0,1,0,0,0,0,0,1073737728,0,960,44051,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,88,90,85,4,0,0,0,0,0,0,0,0,0
1766327626.050,42.995,18.544,38.462,0,0,0,7045120,0,0,0,0,0,0,1701470208,3085164544,3293495296,6006419456,65892,163771,10,0,10,6.970,6.380,4.700,55359,5606,13,0,14,0,10,0,4,0,6.970,6.380,4.700,1701470208,3085164544,3293495296,6006419456,9,0,10,0,12,0,0,0,1073737728,0,1888,45075,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,4510,4111,1311,0.500,0,0,0,0,0,0,0,0,0
1766327627.050,45.643,18.949,35.408,0,0,0,8650752,0,0,0,0,0,0,1695854592,3090681856,3293593600,6011953152,71243,176924,8,0,0,6.980,6.390,4.710,59975,6045,2,0,10,0,1,0,2,0,6.980,6.390,4.710,1695854592,3090681856,3293593600,6011953152,9,0,0,0,10,0,0,0,1073737728,0,1888,45075,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,1168,255,2080,0.300,0,0,0,0,0,0,0,0,0
1766327628.050,45.655,19.172,35.034,0.138,0,0,7864320,0,0,0,0,0,0,1678286848,3108167680,3293675520,6029488128,71561,176849,7,0,0,6.980,6.390,4.710,60180,6241,2,0,10,0,3,0,2,0,6.980,6.390,4.710,1678286848,3108167680,3293675520,6029488128,8,0,0,0,10,0,0,0,1073737728,0,1888,45075,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,1500,82,3106,0.400,0,0,0,0,0,0,0,0,0
1766327629.050,44.737,20.083,35.180,0,0,0,7864320,0,0,0,0,0,0,1671929856,3114475520,3293724672,6035795968,71454,176373,8,0,0,6.980,6.390,4.710,59998,6356,4,0,10,0,1,0,2,0,6.980,6.390,4.710,1671929856,3114475520,3293724672,6035795968,10,0,0,0,10,0,0,0,1073737728,0,1888,45075,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,176,69,2080,0.200,0,0,0,0,0,0,0,0,0
