"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","aae671eff32a",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221123858/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","21 Dec 2025 12:43:13 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766320993.417,16.119,5.512,78.257,0.113,0,3836021.824,20871595.843,1309897.660,0,0,0,0,0,1981411328,2572550144,3337576448,5989347328,7482.179,34816.212,11,1,6.034,2.110,4.580,4.550,3135.244,2126.376,37.477,0.842,88.441,1.947,77.109,0.015,8.971,0.026,2.110,4.580,4.550,1981411328,2572550144,3337576448,5989347328,11,0,6.034,55.218,27.026,2.270,0,0,1073737728,0,4768,169183,0,0,0,0,0,0,0,57,1,1,0,0,1,0,0,518,0,0,1,0,0,54,0,54,2.132,3480.889,5727.905,6224.775,0.939,0.053,0,0,0,0,0,0,0,0
1766320994.418,72.564,15.128,12.308,0,0,0,4915200,0,0,672,0,0,0,2308509696,2245160960,3337703424,5662220288,17603,59166,11,0,195,2.110,4.580,4.550,4497,7103,124,0,86,0,17,0,79,0,2.110,4.580,4.550,2308509696,2245160960,3337703424,5662220288,11,0,195,0,94,0,0,0,1073737728,0,6336,169706,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,123611,112722,30773,1.900,0,0,0,0,0,0,0,0,0
1766320995.418,74.968,14.815,10.217,0,0,0,0,0,0,336,0,0,0,2451304448,2102366208,3337703424,5519425536,21324,99225,13,0,0,2.110,4.580,4.550,6769,7127,2,0,0,0,1,0,2,0,2.110,4.580,4.550,2451304448,2102366208,3337703424,5519425536,15,0,0,0,0,0,0,0,1073737728,0,6336,169706,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,5674,68149,37946,0,0,0,0,0,0,0,0,0,0
1766320996.418,41.620,19.972,38.408,0,0,0,0,0,0,336,0,0,0,2647339008,1906331648,3337703424,5323390976,71107,166297,6,0,1,2.420,4.610,4.560,62651,4833,2,0,0,0,1,0,2,0,2.420,4.610,4.560,2647339008,1906331648,3337703424,5323390976,5,0,1,0,0,0,0,0,1073737728,0,6336,169705,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,485,75735,19525,0,0,0,0,0,0,0,0,0,0
1766320997.418,39.251,20.250,40.499,0,0,0,0,0,0,0,0,0,0,2668568576,1885102080,3337703424,5302161408,73522,171581,5,0,0,2.420,4.610,4.560,66105,4840,3,0,0,0,3,0,8,0,2.420,4.610,4.560,2668568576,1885102080,3337703424,5302161408,7,0,0,0,0,0,0,0,1073737728,0,6336,169705,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,85,110,40,0,0,0,0,0,0,0,0,0,0
1766320998.418,38.207,17.517,42.759,1.517,0,0,0,0,0,0,0,0,0,2675093504,1878568960,3337711616,5295628288,67868,151434,5,0,1,2.420,4.610,4.560,59378,4651,2,2,1750,0,2,0,4,0,2.420,4.610,4.560,2675093504,1878568960,3337711616,5295628288,7,0,1,0,0,0,0,0,1073737728,0,6336,169705,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,130,2698,1650,21.400,0,0,0,0,0,0,0,0,0
1766320999.419,6.538,3.333,90.128,0,0,0,360448,0,0,0,0,0,0,2671345664,1882312704,3337715712,5299384320,13948,30587,0,0,1,2.420,4.610,4.560,11986,1429,31,0,5,0,26,0,4,0,2.420,4.610,4.560,2671345664,1882312704,3337715712,5299384320,0,0,1,0,2,0,0,0,1073737728,0,6336,169690,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,300,154,1551,0.100,0,0,0,0,0,0,0,0,0
1766321000.423,0.626,0.501,98.874,0,0,0,0,0,0,0,0,0,0,2671341568,1882312704,3337719808,5299384320,1334,1680,0,0,0,2.420,4.610,4.560,731,550,12,0,0,0,8,0,20,0,2.420,4.610,4.560,2671341568,1882312704,3337719808,5299384320,0,0,0,0,0,0,0,0,1073737728,0,6336,169690,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,412,45,48,0,0,0,0,0,0,0,0,0,0
1766321001.423,0.251,0.125,99.624,0,0,0,0,0,0,0,0,0,0,2671341568,1882312704,3337719808,5299384320,299,369,0,0,0,2.310,4.550,4.540,150,138,7,0,0,0,1,0,2,0,2.310,4.550,4.540,2671341568,1882312704,3337719808,5299384320,0,0,0,0,0,0,0,0,1073737728,0,6336,169690,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,34,58,24,0,0,0,0,0,0,0,0,0,0
1766321002.423,0.500,0.250,99.250,0,0,0,0,0,0,0,0,0,0,2671333376,1882312704,3337728000,5299404800,363,439,0,0,0,2.310,4.550,4.540,178,174,2,0,0,0,3,0,2,0,2.310,4.550,4.540,2671333376,1882312704,3337728000,5299404800,0,0,0,0,0,0,0,0,1073737728,0,6336,169690,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,37,66,198,0,0,0,0,0,0,0,0,0,0
1766321003.418,1.274,0.382,98.344,0,0,0,0,0,0,0,0,0,0,2671333376,1882312704,3337728000,5299404800,2041,2405,2,0,0,2.310,4.550,4.540,1122,902,7,0,0,0,1,0,2,0,2.310,4.550,4.540,2671333376,1882312704,3337728000,5299404800,0,0,0,0,0,0,0,0,1073737728,0,6336,169690,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,1852,25,46,0,0,0,0,0,0,0,0,0,0
1766321004.418,55.428,24.649,19.923,0,0,0,131072,0,0,0,0,0,0,2698416128,1854267392,3337728000,5272330240,23450,87904,79,0,11,2.310,4.550,4.540,1025,6548,15,0,4,0,10,0,4,0,2.310,4.550,4.540,2698416128,1854267392,3337728000,5272330240,77,0,11,0,2,0,0,0,1073737728,0,8128,170714,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,15079,22320,11888,0.200,0,0,0,0,0,0,0,0,0
1766321005.418,67.018,30.607,2.375,0,0,0,0,0,0,0,0,0,0,2654609408,1898074112,3337728000,5316136960,31526,137093,90,0,1,2.310,4.550,4.540,852,7528,2,0,0,0,1,0,2,0,2.310,4.550,4.540,2654609408,1898074112,3337728000,5316136960,95,0,1,0,0,0,0,0,1073737728,0,8128,170714,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,500,11088,10465,0,0,0,0,0,0,0,0,0,0
1766321006.418,65.838,32.984,1.178,0,0,0,0,0,0,0,0,0,0,2659713024,1892962304,3337736192,5311033344,32169,154863,50,0,0,7.010,5.490,4.840,467,7579,2,0,0,0,3,0,2,0,7.010,5.490,4.840,2659713024,1892962304,3337736192,5311033344,47,0,0,0,0,0,0,0,1073737728,0,8128,170714,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,93,12107,10561,0,0,0,0,0,0,0,0,0,0
1766321007.418,66.498,31.858,1.643,0,0,0,0,0,0,0,0,0,0,2659880960,1892794368,3337736192,5310865408,32047,161765,63,0,0,7.010,5.490,4.840,819,7848,2,0,0,0,1,0,2,0,7.010,5.490,4.840,2659880960,1892794368,3337736192,5310865408,51,0,0,0,0,0,0,0,1073737728,0,8128,170714,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,53,5861,8902,0,0,0,0,0,0,0,0,0,0
