"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","590c1473f9b2",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251224102229/ktor-exposed-r2dbc-dsl/query/stats.txt",,,,"Date:","24 Dec 2025 10:32:54 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766572374.438,11.242,4.440,84.155,0.163,0,16366794.098,17587611.646,2717265.626,0,0,0,0,0,2547838976,3339395072,1947869184,5525946368,13617.350,35047.391,2,0,6.763,5.090,4.050,2.320,9917.274,1960.605,40.255,1.556,168.752,4.095,16.362,0.032,10.445,0.035,5.090,4.050,2.320,2547838976,3339395072,1947869184,5525946368,4,0,6.763,168.058,26.261,4.695,0,0,1073737728,0,7168,235026,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,4.280,3147.538,5713.423,7007.988,1.152,0.109,0,0,0,0,0,0,0,0
1766572375.439,63.199,26.658,10.013,0.130,0,0,2850816,0,0,672,0,0,0,2581225472,3305955328,1947914240,5492559872,13680,36048,13,0,57,5.090,4.050,2.320,2271,7140,103,19,52,0,15,0,74,0,5.090,4.050,2.320,2581225472,3305955328,1947914240,5492559872,13,0,57,0,57,0,0,0,1073737728,0,7168,235243,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,8525,14564,9656,1,0,0,0,0,0,0,0,0,0
1766572376.439,70.091,15.865,14.044,0,0,0,0,0,0,336,0,0,0,2585485312,3301695488,1947914240,5488300032,22250,69399,14,0,1,5.800,4.220,2.380,7225,6877,22,31,0,0,1,0,17,0,5.800,4.220,2.380,2585485312,3301695488,1947914240,5488300032,11,0,1,0,0,0,0,0,1073737728,0,7168,235239,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,2133,10996,9496,0,0,0,0,0,0,0,0,0,0
1766572377.442,57.677,19.359,22.964,0,0,0,0,0,0,336,0,0,0,2629095424,3258085376,1947914240,5444689920,42976,131868,7,0,0,5.800,4.220,2.380,26805,6470,3,0,0,0,1,0,2,0,5.800,4.220,2.380,2629095424,3258085376,1947914240,5444689920,8,0,0,0,0,0,0,0,1073737728,0,7168,235238,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,3568,16952,9468,0,0,0,0,0,0,0,0,0,0
1766572378.439,45.225,24.438,30.337,0,0,0,0,0,0,0,0,0,0,2618609664,3268571136,1947914240,5455175680,68131,193692,7,0,0,5.800,4.220,2.380,53546,6355,3,0,0,0,1,0,2,0,5.800,4.220,2.380,2618609664,3268571136,1947914240,5455175680,7,0,0,0,0,0,0,0,1073737728,0,7168,235238,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,208,5357,15456,0,0,0,0,0,0,0,0,0,0
1766572379.439,45.161,24.965,29.874,0,0,0,0,0,0,0,0,0,0,2566688768,3320483840,1947922432,5507096576,65663,188601,8,0,2,5.800,4.220,2.380,51351,6311,4,0,0,0,2,0,7,0,5.800,4.220,2.380,2566688768,3320483840,1947922432,5507096576,7,0,2,0,0,0,0,0,1073737728,0,7168,235240,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,263,301,7225,0,0,0,0,0,0,0,0,0,0
1766572380.444,5.183,2.149,92.668,0,0,0,360448,0,0,0,0,0,0,2556903424,3330265088,1947926528,5516877824,6616,18346,0,0,1,5.800,4.220,2.380,4636,903,75,0,5,0,26,0,20,0,5.800,4.220,2.380,2556903424,3330265088,1947926528,5516877824,0,0,1,0,2,0,0,0,1073737728,0,7200,235268,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,144,212,1680,0,0,0,0,0,0,0,0,0,0
1766572381.449,0.375,0.125,99.501,0,0,0,0,0,0,0,0,0,0,2556899328,3330265088,1947930624,5516877824,500,724,0,0,0,5.330,4.150,2.370,308,184,3,0,0,0,2,0,2,1,5.330,4.150,2.370,2556899328,3330265088,1947930624,5516877824,0,0,0,0,0,0,0,0,1073737728,0,7200,235268,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,15,38,31,0,0,0,0,0,0,0,0,0,0
1766572382.441,0.379,0.379,99.241,0,0,0,0,0,0,0,0,0,0,2556899328,3330265088,1947930624,5516877824,1152,1691,0,0,0,5.330,4.150,2.370,708,401,26,0,0,0,1,0,13,0,5.330,4.150,2.370,2556899328,3330265088,1947930624,5516877824,0,0,0,0,0,0,0,0,1073737728,0,7200,235221,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,13,47,36,0,0,0,0,0,0,0,0,0,0
1766572383.440,0.755,0.629,98.616,0,0,65536,0,0,0,0,0,0,0,2556882944,3330265088,1947947008,5516886016,1783,2341,0,0,0,5.330,4.150,2.370,1059,698,4,0,2,0,3,0,2,0,5.330,4.150,2.370,2556882944,3330265088,1947947008,5516886016,0,0,0,2,0,0,0,0,1073737728,0,7200,235221,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,5,33,33,0.100,0,0,0,0,0,0,0,0,0
1766572384.439,0.379,0.885,98.357,0.379,0,0,0,0,0,0,0,0,0,2555731968,3331416064,1947947008,5518036992,2648,3686,0,0,2,5.330,4.150,2.370,1489,724,2,2,405,0,1,0,9,0,5.330,4.150,2.370,2555731968,3331416064,1947947008,5518036992,0,0,2,0,0,0,0,0,1073737728,0,7200,235223,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,1154,566,570,3.100,0,0,0,0,0,0,0,0,0
1766572385.439,62.308,22.821,14.744,0.128,0,0,131072,0,0,0,0,0,0,2549424128,3337003008,1947947008,5524377600,22684,106800,104,0,21,5.330,4.150,2.370,1281,6827,12,0,4,0,10,0,7,0,5.330,4.150,2.370,2549424128,3337003008,1947947008,5524377600,86,0,21,0,2,0,0,0,1073737728,0,8160,236245,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,16843,17670,11175,0.100,0,0,0,0,0,0,0,0,0
1766572386.439,66.491,29.566,3.942,0,0,0,0,0,0,0,0,0,0,2676441088,3209986048,1947947008,5397360640,24467,143665,38,0,0,8.590,4.840,2.600,1226,7473,2,0,0,0,1,0,2,0,8.590,4.840,2.600,2676441088,3209986048,1947947008,5397360640,30,0,0,0,0,0,0,0,1073737728,0,8160,236245,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,1053,33497,4612,0,0,0,0,0,0,0,0,0,0
1766572387.439,67.571,29.070,3.359,0,0,0,0,0,0,0,0,0,0,2766163968,3120254976,1947955200,5307637760,20044,151112,25,0,0,8.590,4.840,2.600,1022,7665,4,0,0,0,3,0,2,0,8.590,4.840,2.600,2766163968,3120254976,1947955200,5307637760,29,0,0,0,0,0,0,0,1073737728,0,8160,236245,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,518,27815,4005,0,0,0,0,0,0,0,0,0,0
1766572388.439,63.784,30,6.216,0,0,0,0,0,0,0,0,0,0,2890641408,2995777536,1947955200,5183160320,17057,147273,46,0,0,8.590,4.840,2.600,781,7093,2,0,0,0,1,0,2,0,8.590,4.840,2.600,2890641408,2995777536,1947955200,5183160320,47,0,0,0,0,0,0,0,1073737728,0,8160,236245,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,389,32644,1826,0,0,0,0,0,0,0,0,0,0
1766572389.439,66.974,27.237,5.789,0,0,0,0,0,0,0,0,0,0,2872164352,3014254592,1947955200,5201637376,16088,146475,20,0,0,8.590,4.840,2.600,1213,7375,2,0,0,0,1,0,6,0,8.590,4.840,2.600,2872164352,3014254592,1947955200,5201637376,24,0,0,0,0,0,0,0,1073737728,0,8160,236247,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,7,1020,5129,0,0,0,0,0,0,0,0,0,0
1766572390.439,67.815,27.947,4.238,0,0,0,262144,0,0,0,0,0,0,2860879872,3025494016,1947955200,5212930048,17109,155364,115,0,0,8.590,4.840,2.600,1214,7434,59,0,5,0,1,0,29,0,8.590,4.840,2.600,2860879872,3025494016,1947955200,5212930048,116,0,0,0,3,0,0,0,1073737728,0,8192,236290,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,67,1249,4189,0.400,0,0,0,0,0,0,0,0,0
1766572391.441,66.969,29.016,4.016,0,0,0,0,0,0,0,0,0,0,2844344320,3042025472,1947959296,5229465600,17956,159313,55,0,0,12.470,5.710,2.890,1219,7624,2,0,0,0,3,0,2,0,12.470,5.710,2.890,2844344320,3042025472,1947959296,5229465600,55,0,0,0,0,0,0,0,1073737728,0,8192,236290,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,41,1174,3725,0,0,0,0,0,0,0,0,0,0
1766572392.439,66.841,30.013,3.145,0,0,0,0,0,0,0,0,0,0,2836008960,3050369024,1947959296,5237800960,18652,155138,37,0,0,12.470,5.710,2.890,833,7546,12,0,0,0,1,0,7,0,12.470,5.710,2.890,2836008960,3050369024,1947959296,5237800960,43,0,0,0,0,0,0,0,1073737728,0,8192,236245,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,45,1072,3555,0,0,0,0,0,0,0,0,0,0
1766572393.439,67.445,28.664,3.891,0,0,0,0,0,0,0,0,0,0,2820755456,3065618432,1947963392,5253050368,20253,154650,43,0,0,12.470,5.710,2.890,1044,7614,2,0,0,0,2,0,2,0,12.470,5.710,2.890,2820755456,3065618432,1947963392,5253050368,47,0,0,0,0,0,0,0,1073737728,0,8192,236245,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,7,965,4577,0,0,0,0,0,0,0,0,0,0
1766572394.439,66.667,29.167,4.167,0,0,0,0,0,0,0,0,0,0,2813169664,3073204224,1947963392,5260640256,19052,157587,33,0,0,12.470,5.710,2.890,1161,7595,2,0,0,0,1,0,6,0,12.470,5.710,2.890,2813169664,3073204224,1947963392,5260640256,38,0,0,0,0,0,0,0,1073737728,0,8192,236247,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,9,873,2945,0,0,0,0,0,0,0,0,0,0
1766572395.439,65.234,29.427,5.339,0,0,0,0,0,0,0,0,0,0,2798247936,3088117760,1947971584,5275561984,19014,159449,75,0,0,12.470,5.710,2.890,1658,7557,4,0,0,0,3,0,5,0,12.470,5.710,2.890,2798247936,3088117760,1947971584,5275561984,75,0,0,0,0,0,0,0,1073737728,0,8192,236245,0,0,0,0,0,0,0,117,1,1,0,0,1,0,0,528,0,0,1,0,0,114,0,114,0,28,1177,4242,0,0,0,0,0,0,0,0,0,0
